   0   0   1   1.997193319969992120068298141276469813940298187309233604591215197873160737510275851945297613902218158798556730647200620903944890612509331375201735299111630413056993 -6.02634619106539878727562156289947955399234695344835472877071864391547692204240182928548052208107736708904195627167542817913729056948087124900979582036210907045942873e-1      8.097945123220959277383940439312982739965337543254855548957260332069226282989593521112451580776732622239682255995424409412145709954470705258139785977372209240315698e-1
   1   1   1   7.720977265071841770505892239769901328602        -1.340236269964285581738678146337737700995e-1     -1.067862698239268546940319852075633371773e-1     
   2   0   1   8.834164503179200609421533520935797332693        -1.750490358954643890917194037860872131438e-1     -1.564171919376062802419792679400471553825        
   2   0   2   1.784921704698527083284292058758962260554e+1     -5.882062666225869602200492315028894840331e-2      4.217727830642283768041941927038102853823e-1     
   2   2   1   1.796959857779662543674167623048592075533e+1     -5.703350663902746744553808994213792010537e-2     -2.472110244766300266847766149591086328405        
   3   0   1   2.092104112783457718294057259958798597281e+1     -1.306550866180994189595662602851807771666e-1      7.116425073342343282764670965611832454731        
   3   1   1   1.860780307596728663054790562665374026500e+1     -7.124680574143336881388723080544799736863e-2     -3.676755591154152576671000545857326555364        
   3   1   2   3.145525562075063953359967832466613844630e+1     -3.250735500088443651147907373009809012702e-2     -9.612135220117855189023760155336265620948e-1     
   3   3   1   3.247412486257966538564979134176325986621e+1     -3.125685627114599647970442290434167279194e-2     -6.579295566453258152613283454217282088599        
   4   0   1   2.390026712773894513911618322014950478954e+1     -7.824535362239537980119713109103743925419e-2     -5.361351963523132889029925863745464554447        
   4   0   2   3.364027716017093343564722697923698231710e+1     -3.798628635507095058615164874819369931504e-2     -4.133098161107378743029134355175807108435        
   4   0   3   4.930661151813777701241369984309261232384e+1     -2.073678351124254387830520843921648572456e-2     -9.820801505181185230330436298508411672240e-1     
   4   1   1   3.565684223845496523455947354725284423068e+1     -5.826796664354465436638157494618217508928e-2      4.741584744195460915229462281259494812470        
   4   2   1   3.187986607543271508574755970531580191878e+1     -3.789816631305247914799893733989285556173e-2     -7.523979395542573499052965048035494168363        
   4   2   2   4.873174243944441642992529112400905890681e+1     -2.049852479042732881460585400012903436309e-2     -4.156610537981606500389853691812563153905        
   4   4   1   5.259706947989877289682042349848584574686e+1     -1.968258154618966254716449448248160119629e-2     -1.187068111437803437921675368749490380523e+1     
   5   0   1   4.052059034161718160240250140303127605295e+1     -6.063995570395135953838153092585703450080e-2      1.367594639966757972718520618080344644561        
   5   0   2   5.608146570740167949766848434082485904115e+1     -3.267896081467710482445026981722478873973e-2      5.566063982454029988929516718475701940520        
   5   1   2   5.206921422862764067168025973721094434159e+1     -2.348082157653059252842699039128209443717e-2     -6.403536161714330112821115250297309502176        
   5   2   1   5.416040079411699512962504770822913709905e+1     -3.270396067055717823274430078592067895482e-2      1.275260459095310654888558848407798824324        
   5   3   1   4.864109831983496735231784981010806180939e+1     -2.331786680144529588748323518322728832356e-2     -1.315803002717856822744523895648730805407e+1     
   6   0   1   4.736111515199478043833222498397328018011e+1     -4.359696188242230613556899460159266279525e-2     -1.044102613851230819625510732047368821687e+1     
   6   0   2   5.967581512678710296869356542280881438630e+1     -2.548646137078066145034083928703096369868e-2     -9.572462260137225634213361271134337752522        
   6   1   1   5.976836884656105709038512880625567579052e+1     -3.420356812811268313318726208357864469698e-2     -2.353500275074198347525845756372020349382        
   6   1   2   8.007299332308720497674015497678875256525e+1     -2.084069028025227140306181119047024081699e-2      4.351689329921940784869654260120077558805        
   6   2   1   5.777185202752601396267942124036910268317e+1     -2.554026774481544866146449946064356914118e-2     -1.312927870773068124589317208123353273290e+1     
   7   0   1   6.817053313584476649315830979156669725357e+1     -3.519971544141150985093599866877510858515e-2     -5.100872000964391909624630574843535411970        
   7   0   2   8.454856342978479326096281135543627040245e+1     -2.180988002084978665363847294587453139256e-2     -3.351375902053316606731096796354074097621        
   7   1   1   6.832548193577096984629743242634210397880e+1     -2.682656672295462358515822186593306328415e-2     -1.427116243896302785474484938401681278094e+1     
   7   2   1   8.250740043015758550772912100627000886952e+1     -2.184692792814077394309109408648895503243e-2     -7.499062644207568804854189213855158407136        
   8   0   1   7.923408150963592126015299555217912135190e+1     -2.762761613215975734406694974968334372203e-2     -1.675602404294327913883163624265259130479e+1     
   8   1   1   9.261849777868460669497054245308382727747e+1     -2.255205664362244695330090712823089110836e-2     -9.869012272096978603440528680487490100481        
